cycle,range_bin,doppler_bin,output_hex
2659415000,25,24,0191008c
2659425000,25,25,fef9ff51
2659435000,25,26,0029ffdc
2659445000,25,27,003001c1
2659455000,25,28,ff34fee8
2659465000,25,29,000fffbf
2659475000,25,30,00b800af
2659485000,25,31,ff45ffbf
2661365000,26,0,fff2ffc6
2661375000,26,1,fff3001a
2661385000,26,2,00070036
2661395000,26,3,000eff52
2661405000,26,4,0052006c
2661415000,26,5,ff2c00cc
2661425000,26,6,ff5efea0
2661435000,26,7,025700f6
2661445000,26,8,fe1eff6e
2661455000,26,9,00ad01e0
2661465000,26,10,ffddfdb4
2661475000,26,11,ffd60106
2661485000,26,12,ffa6ff84
2661495000,26,13,0114ffb6
2661505000,26,14,ff5e00ba
2661515000,26,15,003dffce
2663395000,26,16,ffe20007
2663405000,26,17,007f0004
2663415000,26,18,ff780087
2663425000,26,19,ff78fef3
2663435000,26,20,0065009f
2663445000,26,21,00b3ff52
2663455000,26,22,ff7dfff8
2663465000,26,23,0008019d
2663475000,26,24,00caffad
2663485000,26,25,fdb1fefe
2663495000,26,26,01dcfeeb
2663505000,26,27,ffa401e9
2663515000,26,28,004fff29
2663525000,26,29,ffc50028
2663535000,26,30,0097009a
2663545000,26,31,ffbcffab
2665425000,27,0,fffc000e
2665435000,27,1,ffbaffaf
2665445000,27,2,fffbffa3
2665455000,27,3,ffcd011e
2665465000,27,4,00e5febe
2665475000,27,5,002800fe
2665485000,27,6,feb7ffb5
2665495000,27,7,005c0036
2665505000,27,8,00660098
2665515000,27,9,ff8aff5d
2665525000,27,10,ff5bffc5
2665535000,27,11,0171fe82
2665545000,27,12,ffa902b0
2665555000,27,13,ffb0fe86
2665565000,27,14,ffdb004f
2665575000,27,15,0072001a
2667455000,27,16,000effea
2667465000,27,17,ffee00a5
2667475000,27,18,ff68ff21
2667485000,27,19,016800a7
2667495000,27,20,fe76ffe4
2667505000,27,21,01250075
2667515000,27,22,fff8ffff
2667525000,27,23,ff310003
2667535000,27,24,0184ff7e
2667545000,27,25,fdc00173
2667555000,27,26,00c4fe9f
2667565000,27,27,003600e9
2667575000,27,28,ff30ff5c
2667585000,27,29,00f50063
2667595000,27,30,ff840051
2667605000,27,31,ffe9ffc5
2669485000,28,0,fffbffff
2669495000,28,1,004fffe8
2669505000,28,2,00040022
2669515000,28,3,febeffc2
2669525000,28,4,0147007d
2669535000,28,5,ffebff5a
2669545000,28,6,ff100109
2669555000,28,7,00e8fe88
2669565000,28,8,004501a3
2669575000,28,9,ff67fe20
2669585000,28,10,ffb40142
2669595000,28,11,0092ff30
2669605000,28,12,0015fff1
2669615000,28,13,ffd7017e
